eps_12	n_surf	temp	job	superposicion
0.7	050	0.80	02	0.015096110133333337
0.7	050	0.80	03	0.014888792333333335
0.7	050	0.80	01	0.015160682333333335
0.7	050	0.90	02	0.013667122
0.7	050	0.90	03	0.01361807866666666
0.7	050	0.90	01	0.01373880213333333
0.7	050	0.70	02	0.01658681346666667
0.7	050	0.70	03	0.016475835800000005
0.7	050	0.70	01	0.016627967333333337
0.7	050	0.60	02	0.018257921800000007
0.7	050	0.60	03	0.0177618456
0.7	050	0.60	01	0.018214605466666676
0.7	050	0.40	02	0.02413104479999999
0.7	050	0.40	03	0.02337679793333332
0.7	050	0.40	01	0.025091048799999998
0.7	050	0.20	02	0.022671001666666666
0.7	050	0.20	03	0.0228004938
0.7	050	0.20	01	0.02349175933333333
0.7	050	0.50	02	0.019023887133333337
0.7	050	0.50	03	0.019253406066666666
0.7	050	0.50	01	0.019301157600000004
0.7	050	0.30	02	0.023306489533333332
0.7	050	0.30	03	0.023199604466666666
0.7	050	0.30	01	0.023529682799999996
0.7	030	0.80	02	0.01563858455555556
0.7	030	0.80	03	0.016317879888888893
0.7	030	0.80	01	0.016148016111111118
0.7	030	0.90	02	0.014227990333333334
0.7	030	0.90	03	0.014464611333333334
0.7	030	0.90	01	0.014557559555555549
0.7	030	0.70	02	0.01791352155555557
0.7	030	0.70	03	0.01791072255555555
0.7	030	0.70	01	0.018105639888888886
0.7	030	0.60	02	0.019034288888888893
0.7	030	0.60	03	0.019845245111111118
0.7	030	0.60	01	0.0191666321111111
0.7	030	0.40	02	0.03797445744444444
0.7	030	0.40	03	0.039876213222222213
0.7	030	0.40	01	0.0395579728888889
0.7	030	0.20	02	0.04969614655555555
0.7	030	0.20	03	0.049252619666666664
0.7	030	0.20	01	0.025989480000000006
0.7	030	0.50	02	0.021298084222222218
0.7	030	0.50	03	0.020830879333333326
0.7	030	0.50	01	0.02100236033333334
0.7	030	0.30	02	0.04692644566666667
0.7	030	0.30	03	0.04742755600000002
0.7	030	0.30	01	0.046672868888888885
0.7	100	0.80	02	0.013062854599999998
0.7	100	0.80	03	0.013066538200000003
0.7	100	0.80	01	0.013077705199999998
0.7	100	0.90	02	0.012446666166666665
0.7	100	0.90	03	0.012463626033333333
0.7	100	0.90	01	0.012391628533333334
0.7	100	0.70	02	0.013989067633333335
0.7	100	0.70	03	0.014050731800000004
0.7	100	0.70	01	0.014003041900000002
0.7	100	0.60	02	0.01511199973333333
0.7	100	0.60	03	0.015012831999999988
0.7	100	0.60	01	0.015158833900000003
0.7	100	0.40	02	0.018254310566666668
0.7	100	0.40	03	0.01817658723333334
0.7	100	0.40	01	0.0184227196
0.7	100	0.20	02	0.019155267233333335
0.7	100	0.20	03	0.0195862187
0.7	100	0.20	01	0.01906117450000001
0.7	100	0.50	02	0.015492685433333328
0.7	100	0.50	03	0.015643261633333332
0.7	100	0.50	01	0.015810224266666662
